title,popularity,release_date,vote_average,vote_count
Pink Floyd: The Wall,17.918,1982-07-14,7.962,1486
Three Men and a Leg,8.401,1997-12-27,7.96,2064
Up,100.898,2009-05-28,8.0,20205
Farewell My Concubine,20.753,1993-01-01,8.0,573
The Treasure of the Sierra Madre,16.584,1948-01-15,7.959,1192
The Circus,24.06,1928-01-06,7.959,788
The General,14.33,1926-12-25,8.0,1242
Million Dollar Baby,36.981,2004-12-15,7.957,9525
Tel chi el telùn,4.539,1999-05-12,7.956,320
Spider-Man: No Way Home,285.131,2021-12-15,7.955,20173
The Sixth Sense,41.647,1999-08-06,7.955,11699
Dersu Uzala,17.447,1975-08-02,8.0,535
Jurassic Park,31.288,1993-06-11,7.951,16282
The Iron Giant,37.399,1999-08-06,7.95,5591
Nobody,49.382,2021-03-18,7.9,7075
The Red Shoes,23.895,1948-09-06,7.9,657
Aliens,71.423,1986-07-18,7.948,9754
The Way He Looks,9.226,2014-04-10,7.9,935
La Notte,8.032,1961-01-24,7.9,665
Whisper of the Heart,35.165,1995-07-15,7.948,1981
The Great Escape,45.291,1963-07-03,7.947,2539
Akira,37.499,1988-06-10,7.947,4216
No Manches Frida 2: Paradise Lost,56.406,2019-03-15,7.946,873
Miracle in Cell No. 7,16.326,2013-01-23,7.9,433
Raise the Red Lantern,13.023,1991-12-18,7.9,704
Rope,19.411,1948-03-11,7.947,2692
Pather Panchali,14.489,1955-08-26,7.945,419
The Hidden Fortress,15.154,1958-12-28,7.9,614
Suzume,41.34,2022-11-11,7.944,1319
When Marnie Was There,24.212,2014-07-19,7.943,1784
The Cure,11.523,1995-04-21,7.9,303
Braveheart,86.982,1995-05-24,7.941,10115
Cries and Whispers,12.889,1972-12-21,7.9,682
No Country for Old Men,54.75,2007-06-13,7.9,11987
Gone with the Wind,39.783,1939-12-15,7.941,4014
Blade Runner,55.439,1982-06-25,7.94,13755
12 Years a Slave,30.743,2013-10-18,7.939,11227
Sanjuro,13.555,1962-01-01,7.9,603
Nausicaä of the Valley of the Wind,35.564,1984-03-11,7.939,3571
CODA,33.92,2021-08-13,7.936,2245
Ivan Vasilyevich Changes His Profession,12.959,1973-09-17,7.933,349
The Exterminating Angel,13.058,1962-05-16,7.9,661
The Postman,9.571,1994-04-07,7.9,1133
Me Before You,103.073,2016-06-01,7.9,12390
Dallas Buyers Club,32.811,2013-11-01,7.928,8432
Raging Bull,23.615,1980-11-14,7.928,4304
Raiders of the Lost Ark,69.393,1981-06-12,7.928,12410
Ghost in the Shell,34.668,1995-11-18,7.926,3386
It's Such a Beautiful Day,8.555,2012-08-24,7.9,321
Children of Heaven,13.097,1997-08-01,7.924,619
Where Hands Touch,10.765,2018-09-14,7.923,513
The Cranes Are Flying,15.084,1957-10-12,7.9,378
My Hero Academia: Two Heroes,30.784,2018-08-03,7.92,1000
Army of Shadows,10.236,1969-09-10,7.92,638
A Trip to the Moon,12.853,1902-06-21,7.921,1780
The Cabinet of Dr. Caligari,14.462,1920-02-27,7.9,1577
Where Is The Friend's House?,12.506,1987-07-01,7.919,357
Don't Look Now... We're Being Shot At!,20.317,1966-12-08,7.919,1336
Close-Up,10.805,1990-05-09,7.918,376
Throne of Blood,15.397,1957-01-15,7.921,852
Freedom Writers,28.648,2007-01-05,7.919,2183
On the Waterfront,22.928,1954-06-22,7.9,1566
About Time,54.702,2013-09-04,7.918,8496
The Third Man,24.137,1949-08-31,7.9,1852
Heat,45.746,1995-12-15,7.917,7290
Three Colors: Red,23.896,1994-05-12,7.919,1378
My Fault,517.756,2023-06-08,7.916,3094
A Street Cat Named Bob,27.284,2016-11-04,7.915,1431
What Ever Happened to Baby Jane?,20.122,1962-10-31,7.9,1040
Limelight,28.169,1952-10-23,7.9,522
Amélie,55.665,2001-04-25,7.914,11501
Unforgiven,38.729,1992-08-07,7.9,4400
"Batman: The Dark Knight Returns, Part 2",24.764,2013-01-03,7.913,1472
Ordet,7.035,1955-01-09,7.9,360
My Father's Violin,7.752,2022-01-21,7.9,328
Ne Zha,14.926,2019-07-26,7.9,399
Chinatown,28.578,1974-06-20,7.912,3813
Inside Out,149.723,2015-06-17,7.911,21987
La Strada,10.678,1954-09-23,7.913,1056
In This Corner of the World,19.868,2016-11-12,7.9,557
Divorce Italian Style,15.495,1961-12-20,7.9,459
The Boy Who Harnessed the Wind,29.542,2019-02-14,7.9,1663
Amarcord,16.876,1973-12-18,7.911,1094
Harry Potter and the Philosopher's Stone,259.928,2001-11-16,7.909,27461
Mulan,120.948,1998-06-18,7.908,9660
Guardians of the Galaxy,55.8,2014-07-30,7.9,28002
Titanic,172.706,1997-11-18,7.9,25359
Dogman,35.342,2023-09-27,7.9,1086
Captain Fantastic,30.815,2016-07-08,7.9,6372
Tokyo Godfathers,22.294,2003-12-05,7.907,1258
Thirteen Lives,24.777,2022-07-18,7.903,1252
La La Land,77.352,2016-11-29,7.903,16839
A Separation,17.166,2011-02-15,7.902,1721
The Mitchells vs. the Machines,43.475,2021-04-22,7.901,2936
In the Name of the Father,26.62,1993-12-12,7.9,1741
Ron's Gone Wrong,26.268,2021-10-14,7.899,1850
Dangal,28.956,2016-12-21,7.9,977
Miraculous World: Shanghai – The Legend of Ladydragon,38.586,2021-05-15,7.888,641
Persepolis,18.673,2007-06-27,7.898,1943
Return of the Jedi,49.287,1983-05-25,7.898,15653
The Pursuit of Happyness,65.352,2006-12-14,7.898,9840
Dragon Ball Super: Super Hero,52.593,2022-06-11,7.898,2826
Love Hurts,49.78,2002-11-08,7.897,305
Diabolique,9.701,1955-01-29,7.897,962
V for Vendetta,42.727,2006-02-23,7.897,14445
"Remi, Nobody's Boy",26.914,2018-12-12,7.9,414
"Argentina, 1985",13.074,2022-09-29,7.893,621
